Freq [GHz],"dB(S(1,1)) []","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []"
0.002,-49.58725698,-9.58E-05,-75.50862608,-113.6692066
0.012,-34.95511032,-0.00178345,-59.87764562,-60.34591447
0.022,-29.72194193,-0.005549452,-54.62457923,-55.08800693
0.032,-26.48380572,-0.011381109,-51.3712978,-51.84559646
0.042,-24.13725618,-0.019261497,-49.01361173,-49.4749312
0.052,-22.29902164,-0.029167637,-47.1684204,-47.66077295
0.062,-20.7902162,-0.041073626,-45.65012814,-46.13867276
0.072,-19.51274353,-0.054946707,-44.36345197,-44.85753518
0.082,-18.40695284,-0.070750336,-43.24755275,-43.74781706
0.092,-17.43384355,-0.088443268,-42.26336897,-42.77041524
0.102,-16.56650499,-0.107979949,-41.38393675,-41.89927663
0.112,-15.78557666,-0.129310866,-40.58987152,-41.11515615
0.122,-15.0766575,-0.152382958,-39.86674959,-40.40220295
0.132,-14.42873877,-0.177139684,-39.20355173,-39.75008164
0.142,-13.83321055,-0.203521568,-38.59166036,-39.14982485
0.152,-13.28320714,-0.231466347,-38.02420312,-38.5952386
0.162,-12.77316163,-0.260909547,-37.49561096,-38.08034681
0.172,-12.29849427,-0.291784683,-37.00129688,-37.60051003
0.182,-11.85538849,-0.324023615,-36.53744511,-37.15195396
0.192,-11.44062813,-0.357556855,-36.10083801,-36.73158773
0.202,-11.05147493,-0.392313979,-35.6887371,-36.33657566
0.212,-10.68557648,-0.428223865,-35.29878905,-35.9645736
0.222,-10.34089513,-0.465214979,-34.92895667,-35.61363825
0.232,-10.01565282,-0.503215752,-34.57746208,-35.2818245
0.242,-9.708287341,-0.542154693,-34.24274343,-34.96771215
0.252,-9.417417875,-0.581960763,-33.92342027,-34.6698488
0.262,-9.141816817,-0.622563495,-33.61826587,-34.38711531
0.272,-8.880387391,-0.663893321,-33.32618336,-34.11829098
0.282,-8.632144864,-0.705881625,-33.04618831,-33.86245511
0.292,-8.396201398,-0.74846098,-32.77739394,-33.61871987
0.302,-8.171753291,-0.791565292,-32.51899574,-33.3862632
0.312,-7.958070312,-0.835129898,-32.27026353,-33.16437493
0.322,-7.754486837,-0.879091675,-32.03053141,-32.95240899
0.332,-7.560394166,-0.923389182,-31.79919029,-32.74972769
0.342,-7.375234154,-0.967962681,-31.57568102,-32.55576057
0.352,-7.198493568,-1.012754159,-31.35948962,-32.37007703
0.362,-7.029699471,-1.057707508,-31.15014171,-32.19214022
0.372,-6.868415007,-1.102768458,-30.9471987,-32.02148874
0.382,-6.714235786,-1.147884542,-30.75025434,-31.85779904
0.392,-6.566786877,-1.19300525,-30.55893157,-31.70065792
0.402,-6.425719976,-1.23808193,-30.37287964,-31.54972185
0.412,-6.290711039,-1.283067815,-30.19177153,-31.40465364
0.422,-6.161458107,-1.327917956,-30.01530208,-31.26518482
0.432,-6.03767948,-1.372589288,-29.84318603,-31.13099835
0.442,-5.919111965,-1.417040496,-29.6751563,-31.00185711
0.452,-5.805509436,-1.461232072,-29.51096237,-30.87749112
0.462,-5.696641422,-1.505126178,-29.35036919,-30.75770594
0.472,-5.592291977,-1.548686724,-29.1931558,-30.6422493
0.482,-5.492258508,-1.59187919,-29.03911407,-30.53094821
0.492,-5.396350865,-1.634670694,-28.88804826,-30.42358656
0.502,-5.304390387,-1.677029853,-28.73977321,-30.31999849
0.512,-5.216209136,-1.718926786,-28.59411451,-30.22000579
0.522,-5.131649134,-1.760333032,-28.45090708,-30.12345055
0.532,-5.050561703,-1.801221506,-28.30999483,-30.03018248
0.542,-4.972806846,-1.841566446,-28.17122988,-29.94006044
0.552,-4.8982527,-1.881343367,-28.03447196,-29.85294018
0.562,-4.826774994,-1.92052899,-27.89958816,-29.76869591
0.572,-4.758256609,-1.959101212,-27.7664522,-29.68719506
0.582,-4.692587093,-1.997039,-27.63494386,-29.60834696
0.592,-4.629662342,-2.034322443,-27.50494899,-29.53201297
0.602,-4.569384142,-2.070932589,-27.37635874,-29.4581052
0.612,-4.511659903,-2.106851482,-27.24906948,-29.38650921
0.622,-4.456402307,-2.142062069,-27.12298231,-29.31712565
0.632,-4.403529007,-2.176548145,-26.99800282,-29.24987645
0.642,-4.352962408,-2.210294364,-26.87404081,-29.18465787
0.652,-4.304629386,-2.243286149,-26.75101004,-29.12137937
0.662,-4.258461047,-2.275509637,-26.62882791,-29.05997213
0.672,-4.21439256,-2.306951701,-26.50741539,-29.00034316
0.682,-4.172362936,-2.337599864,-26.38669663,-28.94240743
0.692,-4.132314835,-2.367442248,-26.26659891,-28.88609833
0.702,-4.094194424,-2.396467568,-26.14705232,-28.83134514
0.712,-4.057951238,-2.424665129,-26.02798975,-28.7780557
0.722,-4.023537998,-2.452024713,-25.90934655,-28.72616307
0.732,-3.990910511,-2.478536595,-25.79106049,-28.67559653
0.742,-3.960027548,-2.504191511,-25.67307162,-28.62628327
0.752,-3.930850739,-2.528980623,-25.55532206,-28.57814839
0.762,-3.903344473,-2.552895497,-25.43775597,-28.53111546
0.772,-3.877475815,-2.575928063,-25.32031932,-28.4851076
0.782,-3.853214408,-2.598070581,-25.20295986,-28.44005787
0.792,-3.830532434,-2.619315652,-25.085627,-28.39588488
0.802,-3.809404527,-2.639656152,-24.96827167,-28.3525153
0.812,-3.789807748,-2.659085263,-24.85084631,-28.30985676
0.822,-3.771721503,-2.67759638,-24.73330465,-28.26783511
0.832,-3.755127538,-2.69518315,-24.61560174,-28.22636089
0.842,-3.740009896,-2.711839425,-24.49769378,-28.18534336
0.852,-3.726354895,-2.727559247,-24.37953817,-28.14469065
0.862,-3.714151126,-2.742336846,-24.26109331,-28.1042977
0.872,-3.703389434,-2.756166588,-24.14231856,-28.06406559
0.882,-3.694062923,-2.769042975,-24.02317422,-28.02389093
0.892,-3.686166986,-2.780960681,-23.90362147,-27.98364469
0.902,-3.679699299,-2.791914448,-23.78362221,-27.94321041
0.912,-3.674659862,-2.801899127,-23.66313913,-27.90246063
0.922,-3.671051041,-2.81090967,-23.54213561,-27.86125274
0.932,-3.668877605,-2.818941089,-23.42057563,-27.81944423
0.942,-3.668146793,-2.825988476,-23.29842378,-27.77687619
0.952,-3.668868376,-2.832046973,-23.17564518,-27.73338496
0.962,-3.671054741,-2.837111779,-23.05220545,-27.68879267
0.972,-3.67472098,-2.841178131,-22.92807069,-27.64291414
0.982,-3.679884997,-2.844241335,-22.80320743,-27.5955423
0.992,-3.686567626,-2.846296685,-22.67758254,-27.5464747
1.002,-3.694792763,-2.84733957,-22.55116331,-27.49547803
1.012,-3.704587523,-2.847365386,-22.42391735,-27.44231596
1.022,-3.715982402,-2.846369567,-22.29581257,-27.38673933
1.032,-3.729011471,-2.844347615,-22.16681714,-27.32848036
1.042,-3.743712571,-2.841295091,-22.03689953,-27.26725742
1.052,-3.760127576,-2.837207627,-21.9060285,-27.20277333
1.062,-3.778302617,-2.832080934,-21.77417296,-27.13472539
1.072,-3.798288329,-2.825910841,-21.6413022,-27.06278588
1.082,-3.820140332,-2.818693213,-21.50738546,-26.98662359
1.092,-3.8439196,-2.810424253,-21.37239267,-26.90588941
1.102,-3.869692371,-2.801100283,-21.23629364,-26.82023197
1.112,-3.897531165,-2.79071782,-21.09905862,-26.72928252
1.122,-3.927515048,-2.779273704,-20.96065812,-26.6326682
1.132,-3.959730151,-2.766765098,-20.82106292,-26.53001757
1.142,-3.994270269,-2.753189619,-20.68024432,-26.42094859
1.152,-4.031237549,-2.738545355,-20.53817392,-26.30508585
1.162,-4.070743223,-2.72283097,-20.39482388,-26.18206017
1.172,-4.112908426,-2.70604585,-20.25016694,-26.05150492
1.182,-4.157865132,-2.688190157,-20.1041765,-25.91307233
1.192,-4.205757163,-2.669265031,-19.95682675,-25.76642664
1.202,-4.256741356,-2.649272724,-19.80809285,-25.61125321
1.212,-4.310988846,-2.628216789,-19.657951,-25.44726139
1.222,-4.368686516,-2.606102293,-19.50637874,-25.27418918
1.232,-4.43003862,-2.582936069,-19.35335508,-25.09180556
1.242,-4.495268628,-2.558726976,-19.19886076,-24.89991639
1.252,-4.564621263,-2.533486261,-19.04287864,-24.69836192
1.262,-4.638364859,-2.507227887,-18.88539391,-24.48702445
1.272,-4.716793998,-2.479968952,-18.72639455,-24.26582989
1.282,-4.800232468,-2.451730222,-18.5658718,-24.03474247
1.292,-4.889036706,-2.422536605,-18.40382063,-23.79377438
1.302,-4.98359962,-2.392417834,-18.24024036,-23.54297851
1.312,-5.084354999,-2.361409165,-18.07513537,-23.28244981
1.322,-5.191782563,-2.329552161,-17.90851579,-23.01232696
1.332,-5.30641368,-2.296895659,-17.74039849,-22.73278643
1.342,-5.428837924,-2.263496848,-17.57080811,-22.44403895
1.352,-5.559710717,-2.229422372,-17.39977809,-22.14633522
1.362,-5.699761933,-2.194749786,-17.22735215,-21.83995555
1.372,-5.849805914,-2.159569065,-17.05358571,-21.52521047
1.382,-6.010753001,-2.123984337,-16.87854759,-21.20243932
1.392,-6.183622753,-2.088115885,-16.702322,-20.8720065
1.402,-6.369559204,-2.052102375,-16.52501068,-20.53429952
1.412,-6.56984841,-2.016103333,-16.34673538,-20.18972974
1.422,-6.785938566,-1.980301906,-16.16764051,-19.83873304
1.432,-7.019462692,-1.944908098,-15.9878964,-19.48176414
1.442,-7.27226438,-1.910162147,-15.80770256,-19.11930179
1.452,-7.546426168,-1.876338311,-15.62729145,-18.75185154
1.462,-7.844299613,-1.843749166,-15.44693268,-18.37994245
1.472,-8.168535841,-1.812750032,-15.26693745,-18.00413493
1.482,-8.522112323,-1.783743905,-15.08766331,-17.6250217
1.492,-8.908348803,-1.757186667,-14.90951941,-17.24323035
1.502,-9.33089876,-1.733592356,-14.73297163,-16.85943162
1.512,-9.793689744,-1.713538714,-14.55854808,-16.47434192
1.522,-10.30076409,-1.697672632,-14.38684446,-16.08872768
1.532,-10.85592952,-1.686715255,-14.21852909,-15.70341144
1.542,-11.4620525,-1.681466601,-14.05434742,-15.31927541
1.552,-12.11969375,-1.682809137,-13.89512557,-14.93726728
1.562,-12.82456753,-1.691710264,-13.74177266,-14.55839852
1.572,-13.56303928,-1.709222656,-13.59528107,-14.18374809
1.582,-14.30482912,-1.736482228,-13.45672433,-13.81446166
1.592,-14.99332379,-1.774703434,-13.32725224,-13.45174156
1.602,-15.53874596,-1.825170438,-13.20808202,-13.09684341
1.612,-15.82855248,-1.8892244,-13.10048538,-12.75106374
1.622,-15.76983621,-1.96824654,-13.00577154,-12.41571898
1.632,-15.34512529,-2.063636202,-12.92526509,-12.0921273
1.642,-14.62542691,-2.176784861,-12.86027989,-11.78158049
1.652,-13.72466508,-2.309046061,-12.81208889,-11.48531765
1.662,-12.74671592,-2.461703377,-12.78189189,-11.2044867
1.672,-11.76310159,-2.635936596,-12.7707816,-10.94011557
1.682,-10.81516788,-2.832788986,-12.77971073,-10.69308144
1.692,-9.923681448,-3.053138354,-12.80946289,-10.46407365
1.702,-9.097250461,-3.297672392,-12.8606278,-10.25357592
1.712,-8.337838936,-3.566872039,-12.93358443,-10.06184575
1.722,-7.643968876,-3.861003184,-13.02849256,-9.888908028
1.732,-7.012478368,-4.180118277,-13.14529421,-9.734552914
1.742,-6.43945598,-4.524066962,-13.28372416,-9.59834941
1.752,-5.920729778,-4.892515829,-13.44332949,-9.479661518
1.762,-5.452118092,-5.284974948,-13.623496,-9.377675702
1.772,-5.029556779,-5.700829695,-13.82347994,-9.291431937
1.782,-4.649163346,-6.139375633,-14.04244278,-9.219854751
1.792,-4.307266768,-6.599853802,-14.27948646,-9.161791339
1.802,-4.000422064,-7.081485181,-14.53368785,-9.1160422
1.812,-3.725415111,-7.583502288,-14.80413046,-9.081392109
1.822,-3.47926249,-8.105177059,-15.08993243,-9.056636382
1.832,-3.259207633,-8.64584435,-15.39027035,-9.040603998
1.842,-3.062715378,-9.204920935,-15.70439867,-9.032171917
1.852,-2.887463211,-9.781919943,-16.03166473,-9.030280727
1.862,-2.731331503,-10.37646131,-16.37152007,-9.033943631
1.872,-2.592392868,-10.98827859,-16.7235283,-9.0422501
1.882,-2.468900412,-11.61722256,-17.0873703,-9.054367452
1.892,-2.359274721,-12.26326249,-17.46284728,-9.069543765
1.902,-2.262092056,-12.9264849,-17.84988205,-9.087101924
1.912,-2.17607116,-13.6070909,-18.24851938,-9.106439608
1.922,-2.100061777,-14.30539147,-18.65892515,-9.127021206
1.932,-2.033032058,-15.02180175,-19.08138526,-9.148377549
1.942,-1.974057915,-15.75683337,-19.51630356,-9.170098405
1.952,-1.922312748,-16.51108483,-19.96419882,-9.19182653
1.962,-1.877057723,-17.28522974,-20.42570033,-9.21325294
1.972,-1.83763262,-18.08000245,-20.90154138,-9.234113639
1.982,-1.803447973,-18.89617959,-21.39254841,-9.254183621
1.992,-1.77397749,-19.73455757,-21.89962421,-9.27327391
2.002,-1.748751968,-20.59592399,-22.42372013,-9.291224244
2.012,-1.727352526,-21.48102435,-22.96579401,-9.307904204
2.022,-1.709405663,-22.39052163,-23.52674238,-9.323207501
2.032,-1.694578634,-23.32495086,-24.10729512,-9.337047986
2.042,-1.682574763,-24.2846733,-24.70785408,-9.349359667
2.052,-1.673129931,-25.26983551,-25.32824494,-9.360092592
2.062,-1.66600893,-26.28034904,-25.96734406,-9.369212588
2.072,-1.661003003,-27.31591085,-26.62252305,-9.376695996
2.082,-1.657926732,-28.3761034,-27.28885274,-9.38253111
2.092,-1.656615289,-29.46062169,-27.95801215,-9.38671942
2.102,-1.656923657,-30.56968086,-28.61690716,-9.389266004
2.112,-1.6587236,-31.70467859,-29.24621192,-9.390186275
2.122,-1.661899092,-32.86914825,-29.81939803,-9.389516322
2.132,-1.666361669,-34.0698707,-30.30326023,-9.387242792
2.142,-1.672013521,-35.31822465,-30.66165668,-9.383453143
2.152,-1.678791181,-36.6305417,-30.8625472,-9.378129857
2.162,-1.686598671,-38.0264297,-30.88735988,-9.371419296
2.172,-1.695463287,-39.51847289,-30.73695902,-9.363164201
2.182,-1.705263127,-41.07976597,-30.43198223,-9.353602595
2.192,-1.715988872,-42.55169753,-30.00527497,-9.342723106
2.202,-1.727613052,-43.49243615,-29.49312156,-9.330580482
2.212,-1.740115559,-43.30192515,-28.9282629,-9.317232117
2.222,-1.753483284,-41.95725806,-28.33664807,-9.302737199
2.232,-1.767709586,-40.0601538,-27.73705247,-9.287157328
2.242,-1.78279397,-38.08989123,-27.14214518,-9.270556053
2.252,-1.798741692,-36.23231355,-26.55995981,-9.252999258
2.262,-1.815563722,-34.52892721,-25.99524622,-9.234553359
2.272,-1.833276032,-32.97375811,-25.45053243,-9.215288136
2.282,-1.85189999,-31.54919903,-24.92689382,-9.195272645
2.292,-1.871461426,-30.23709898,-24.42448494,-9.174579688
2.302,-1.891981514,-29.02166682,-23.94291458,-9.153299208
2.312,-1.913514493,-27.88976506,-23.48141013,-9.131470413
2.322,-1.936099591,-26.83067657,-23.03906092,-9.109170073
2.332,-1.959761331,-25.83565517,-22.61491071,-9.086508821
2.342,-1.984556743,-24.89744155,-22.20793591,-9.063547261
2.352,-2.010537144,-24.01000721,-21.81715075,-9.040364318
2.362,-2.037757714,-23.16828566,-21.44161227,-9.017038884
2.372,-2.066276979,-22.3679786,-21.08043178,-8.993651982
2.382,-2.096157087,-21.60540786,-20.73278063,-8.970284245
2.392,-2.127463442,-20.87740049,-20.39789148,-8.947017192
2.402,-2.160264479,-20.1811993,-20.07505702,-8.923933616
2.412,-2.194631989,-19.51439319,-19.76362797,-8.901114835
2.422,-2.230640324,-18.87486058,-19.46300898,-8.878644349
2.432,-2.26836695,-18.26072536,-19.17265562,-8.856603718
2.442,-2.307891614,-17.67031982,-18.89206978,-8.83507641
2.452,-2.349296658,-17.10215542,-18.62079633,-8.814145019
2.462,-2.392658072,-16.55491004,-18.35843124,-8.79390193
2.472,-2.438089477,-16.02734848,-18.10455905,-8.77439446
2.482,-2.485653003,-15.5184227,-17.85886702,-8.755738149
2.492,-2.535438946,-15.02714903,-17.62103383,-8.738009921
2.502,-2.587568501,-14.55261043,-17.39074139,-8.721262128
2.512,-2.642101913,-14.09402311,-17.1677495,-8.70559966
2.522,-2.699160747,-13.65063381,-16.9517999,-8.691086109
2.532,-2.75882558,-13.2217674,-16.74266955,-8.677800228
2.542,-2.821200261,-12.80679993,-16.54014864,-8.665812555
2.552,-2.886384053,-12.40515793,-16.34404413,-8.655194077
2.562,-2.954477184,-12.01631226,-16.15417715,-8.64601363
2.572,-3.025580923,-11.63977362,-15.97038168,-8.638336815
2.582,-3.099797139,-11.27508805,-15.79250285,-8.632227663
2.592,-3.177228468,-10.9218336,-15.62039594,-8.627747239
2.602,-3.257978194,-10.57961698,-15.45392515,-8.624953778
